IDREGION,FYEAR,SM_WHC,maxWLIM_YBp2,maxTWCp2,maxWLAIp2,maxWLIM_YBp4,maxWLIM_YSp4,maxTWCp4,maxWLAIp4,avgRSMp2,avgRSMp4,avgTAVGp0,avgPRECp0,avgCWBp0,avgTAVGp1,avgPRECp1,avgTAVGp2,avgCWBp2,avgPRECp3,avgCWBp4,avgPRECp5,avgFAPARp2,avgFAPARp4,YIELD
NL32,2003,0.12,2171.42,3.29,3.39,7141.32,3892.94,12.58,4.68,80.47,13.36,6.77,1.06,-0.51,12.38,2.53,13.06,-0.62,2.16,-2.7,0.94,0.56,0.61,38.1
NL32,2004,0.12,1677.07,2.64,2.17,13600.56,10035.73,21.62,4.25,38.89,54.26,6.92,1.98,0.53,12.23,0.82,11.93,-2.17,0.67,-0.57,3.36,0.56,0.64,43.0
NL32,2005,0.12,1200.3,2.11,1.79,14117.65,10590.47,23.06,5.12,62.73,49.21,6.38,1.92,0.61,10.6,1.45,12.21,-1.64,1.53,-0.93,1.72,0.54,0.64,39.1
NL32,2006,0.12,1893.2,2.68,2.9,8705.37,5079.25,17.5,4.93,64.88,50.09,5.49,1.3,-0.05,13.33,1.09,13.96,-1.28,1.82,-0.87,2.35,0.56,0.65,38.1
NL32,2007,0.12,832.18,1.24,1.1,17426.82,13704.73,26.47,4.86,167.64,65.26,8.44,2.1,0.61,13.37,1.3,13.45,-1.13,2.69,-0.43,1.73,0.52,0.63,39.1
NL32,2008,0.12,620.15,1.15,0.94,10584.87,7936.7,18.29,3.72,40.58,46.27,6.55,2.04,0.75,11.58,0.57,13.87,-2.7,0.88,-1.08,2.73,0.54,0.64,39.2
NL32,2009,0.12,572.7,0.93,0.79,10986.18,6746.76,18.46,5.43,68.85,31.79,5.55,1.24,0.12,11.72,0.62,12.04,-0.81,2.95,-1.74,1.29,0.52,0.62,40.6
NL32,2010,0.12,1494.26,2.36,2.2,10909.62,7676.04,19.56,4.67,62.73,60.57,5.45,1.52,0.06,9.85,1.51,12.17,-1.61,1.29,-0.34,2.95,0.58,0.65,41.1
NL32,2011,0.12,3520.15,5.57,4.07,14776.96,11483.32,23.15,4.07,5.78,65.16,7.85,0.6,-1.21,13.52,0.61,14.09,-2.14,2.14,0.81,3.67,0.63,0.63,36.5
NL33,1999,0.15,2107.36,3.24,3.3,12220.84,8037.33,20.19,5.13,66.96,33.08,7.52,1.83,0.64,13.42,1.01,14.44,-1.8,1.89,-1.5,0.19,0.49,0.63,48.0
NL33,2000,0.15,1137.09,1.92,2.01,16116.17,11881.5,23.64,5.49,82.37,46.83,7.19,1.76,0.74,12.83,1.37,15.34,-1.32,2.41,-1.06,1.97,0.5,0.64,49.5
NL33,2001,0.15,349.43,0.53,0.52,11635.34,7770.18,21.06,5.38,112.14,40.76,5.69,2.18,1.15,9.22,1.83,12.2,-1.55,0.89,-1.63,3.21,0.43,0.61,43.4
NL33,2002,0.15,1839.04,2.82,2.92,13040.71,9147.79,21.52,4.97,53.36,46.7,8.36,2.29,0.73,12.32,1.66,13.39,-1.64,1.36,-1.12,1.03,0.53,0.62,49.3
NL33,2003,0.15,2572.64,4.02,4.02,7784.28,4081.09,14.38,5.3,83.72,18.68,7.14,1.13,-0.56,12.82,2.86,13.47,-0.51,2.46,-2.63,1.48,0.57,0.58,42.7
NL33,2004,0.15,1901.45,2.88,2.42,13880.66,9893.46,23.24,4.81,60.03,51.29,7.18,2.07,0.59,12.19,1.3,11.81,-2.03,0.78,-0.74,2.68,0.55,0.63,48.0
NL33,2005,0.15,1453.63,2.63,2.23,15177.21,11497.58,25.53,5.36,65.93,49.01,6.74,1.91,0.52,11.16,1.6,12.59,-1.49,1.37,-1.04,1.61,0.56,0.64,46.7
NL33,2006,0.15,2224.22,3.01,3.5,8688.06,4634.52,17.24,5.62,91.51,45.2,6.02,1.38,-0.03,13.6,1.36,14.22,-0.11,2.93,-0.84,3.02,0.56,0.61,39.8
